program,count,repetitions,wall_seconds_median,wall_seconds_min,wall_seconds_max,generation_cpu_seconds_median,generation_cpu_seconds_min,generation_cpu_seconds_max
queens_fast,1000000,3,0.003017543,0.003006495,0.003022064,0.002632,0.00262,0.002637
knuth_packed,1000000,3,0.005307588,0.005271787,0.005309104,0.004897,0.004871,0.004901
queens_fast,10000000,3,0.026152179,0.025842934,0.026899679,0.025699,0.025416,0.026412
knuth_packed,10000000,3,0.049398375,0.049082903,0.049460405,0.04869,0.0484,0.04879
queens_fast,100000000,3,0.252747147,0.252583762,0.252866162,0.252239,0.252055,0.252332
knuth_packed,100000000,3,0.486462152,0.485905098,0.486668145,0.48326,0.48289,0.483618
queens_fast,1000000000,3,2.523760472,2.523177503,2.524843304,2.52231,2.52212,2.523587
knuth_packed,1000000000,3,4.861639469,4.848201159,4.864206721,4.833367,4.823019,4.83386
queens_fast,10000000000,3,25.412561467,25.381131753,25.413732981,25.402148,25.369087,25.40276
knuth_packed,10000000000,3,49.039752556,49.036815816,49.154832462,48.580468,48.533182,48.627055
