'Queens.q_bijective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.sortedLowerRow_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.count_error_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.main_of_diagonalDiscrepancy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.historyGraph_wellFormed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.certificate_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.initialState_represented' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.main_of_localStepExact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.local_step_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.bounded_diagonal_discrepancy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.main' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.certified_iff_reachable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.reached_state_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.reached_edge_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.q_diagonal_bijective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.lowerDiagonal_bijOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.exact_error_recursion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.referenceLowerRank_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.prefix_sharp_count_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.sharp_certificate_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.sharp_count_error' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.sharper_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.lower_column_run_lengths' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.upper_column_run_lengths' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.upper_column_gaps' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.lower_column_gaps' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.lowerRunLength_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.existsUnique_lowerRun_of_maximal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.Forty.historyGraph_wellFormed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.Forty.certificate_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.Forty.initialState_represented' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.Forty.actualVertex_represents' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.Finite.repeatedRunCertificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.repeated_lower_run_lengths' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.no_ten_repeated_lower_runs' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.no_twelve_equal_lower_run_lengths' depends on axioms: [propext, Classical.choice, Quot.sound]
'Queens.existsUnique_repeated_lower_run_contains' depends on axioms: [propext, Classical.choice, Quot.sound]
Kernel-only audit passed for all 13671 imported project declarations.
